grid,date,tag_left,tag_right,poop_id,poop_time,comments,id,obs,locx,locy,weight,trapping_id,squirrel_id
KL,2009-06-19,F4406,F4407,A0863,1050,released without handling,807,SBS,9.0,2.5,0,90436,11177
KL,2009-06-19,F4406,F4407,A0863,1050,released without handling,807,SBS,9.0,2.5,0,90437,11177
KL,2009-07-08,F0308,F0309,A1037,1118,Released,953,MNK,9.0,2.5,0,91140,10342
KL,2009-07-08,F0308,F0309,A1037,1118,Released,953,MNK,9.0,2.5,0,91141,10342
KL,2009-06-19,F4406,F4407,A1064,900,released without handling,980,SBS,9.0,2.5,0,90436,11177
KL,2009-06-19,F4406,F4407,A1064,900,released without handling,980,SBS,9.0,2.5,0,90437,11177
KL,2009-06-19,D8219,D8220,A1209,745,NA,1115,SBS,4.0,3.5,0,90425,10183
KL,2009-06-19,D8219,D8220,A1209,745,NA,1115,SBS,4.0,3.5,0,90426,10183
KL,2009-06-19,D8219,D8220,A1209,745,NA,1115,SBS,4.0,3.5,0,90427,10183
JO,2009-06-30,D8745,D8746,A1212,907,NA,1118,EAR,4.0,1.5,270,90782,10203
JO,2009-06-30,D8745,D8746,A1212,907,NA,1118,EAR,4.0,1.5,270,90783,10203
SU,2011-05-26,F7255,F7256,B1702,938,NA,1390,LBD,14.5,6.0,225,103813,12026
SU,2011-05-26,F7255,F7256,B1702,938,NA,1390,LBD,14.5,6.0,225,103814,12026
SU,2011-04-11,F2144,F7179,B1705,1238,Big pink growth near a nipple,1392,LBD,5.0,1.0,235,102181,10654
SU,2011-04-11,F2144,F7179,B1705,1238,Big pink growth near a nipple,1392,LBD,5.0,1.0,235,102182,10654
SU,2011-03-18,F7132,F5482,B1712,1117,"untag left hear (bad),lost tag",1397,LBD,2.5,1.0,245,101225,11976
SU,2011-03-18,F7132,F5482,B1712,1117,"untag left hear (bad),lost tag",1397,LBD,2.5,1.0,245,101226,11976
SU,2011-03-18,F7132,F5482,B1712,1117,"untag left hear (bad),lost tag",1397,LBD,2.5,1.0,245,101227,11976
SU,2011-03-18,F7132,F5482,B1712,1117,"untag left hear (bad),lost tag",1397,LBD,2.5,1.0,245,101228,11976
SU,2011-03-18,F7132,F5482,B1712,1117,"untag left hear (bad),lost tag",1397,LBD,2.5,1.0,245,101229,11976
SU,2011-03-18,F7132,F5482,B1712,1117,"untag left hear (bad),lost tag",1397,LBD,2.5,1.0,245,101230,11976
SU,2011-06-07,F8486,F8487,B1718,926,NA,1400,LBD,18.0,11.0,227,104279,12477
SU,2011-06-07,F8486,F8487,B1718,926,NA,1400,LBD,18.0,11.0,227,104280,12477
SU,2011-05-26,F3409,F3410,B1719,1124,Wean,1401,LBD,2.0,17.0,240,103809,10918
SU,2011-05-26,F3409,F3410,B1719,1124,Wean,1401,LBD,2.0,17.0,240,103810,10918
SU,2011-03-20,F3842,F3843,B1723,1138,NA,1405,LBD,14.0,7.5,280,101284,11084
SU,2011-03-20,F3842,F3843,B1723,1138,NA,1405,LBD,14.0,7.5,280,101285,11084
SU,2011-03-20,F5312,F5313,B1733,1426,NA,1410,FES,20.0,1.0,265,101286,11313
SU,2011-03-20,F5312,F5313,B1733,1426,NA,1410,FES,20.0,1.0,265,101287,11313
SU,2011-03-03,F7055,F7056,B1735,1144,NA,1412,MNK,7.0,3.0,230,100818,11945
SU,2011-03-03,F7055,F7056,B1735,1144,NA,1412,MNK,7.0,3.0,230,100819,11945
SU,2011-05-22,F7255,F7256,B1738,1014,Released,1413,LBD,14.0,7.5,0,103672,12026
SU,2011-05-22,F7255,F7256,B1738,1014,Released,1413,LBD,14.0,7.5,0,103673,12026
SU,2011-03-20,J2750,F2132,B1739,1341,NA,1414,FES,8.5,5.0,240,101308,13691
SU,2011-03-20,J2750,F2132,B1739,1341,NA,1414,FES,8.5,5.0,240,101309,13691
SU,2011-02-23,F3842,F3843,B3041,1433,20 s HT; same colours as last year,1422,FES,14.0,7.5,240,100731,11084
SU,2011-02-23,F3842,F3843,B3041,1433,20 s HT; same colours as last year,1422,FES,14.0,7.5,240,100732,11084
SU,2011-06-17,F2144,F7179,B3460,936,NA,1427,LBD,5.5,1.5,210,104629,10654
