squirrel_id,trapping_id,year,vial_number,poop_id,poop_time,comments,problem_duplicate
12197,137414,2016,1,0708,943,PV 0708; PT0943h,FALSE
12269,125567,2015,1,0754,1300,PV 0754; PT 1300H; NIIF,FALSE
11979,119230,2014,1,0766,1540,PV 0766; PT 1540h; rel,FALSE
22009,142593,2017,1,0918,1215,PV 0918; PT 1215h,FALSE
20077,148865,2017,1,0940,,PT L3688; PV 0940h,FALSE
19308,142301,2017,1,0963,1525,PV 0963; PT 1525h,FALSE
11541,96641,2010,1,1,943,"17 s HT; poop vial has no number - ""#1"" written on vial in permanent marker",FALSE
8620,70011,2006,1,1-06,1048,FMR F. FC. O3. 1048,FALSE
7833,73432,2007,1,1-07,,,FALSE
7704,69129,2006,1,10-06,1040,FMR I. 934. Pled ndl out 5cc. 1040.FO1,FALSE
8727,73548,2007,1,10-07,,,FALSE
10375,76401,2007,1,100-07,,,FALSE
21934,144278,2017,1,1000,,No PV; 1000h,FALSE
7661,76389,2007,1,101-07,,,FALSE
13228,143636,2017,1,1018,1018,PV 1018; PT 1018h; P2??,FALSE
7629,74916,2007,1,102-07,916,,FALSE
7505,74915,2007,1,103-07,1018,Only checked tags/weighed,FALSE
10341,76599,2007,1,104-07,,,FALSE
7582,75753,2007,1,105-07,,,FALSE
7457,74968,2007,1,106-07,1029,Only checked tags/weighed,FALSE
10410,76842,2007,1,107-07,,,FALSE
10745,75353,2007,1,108-07,,,FALSE
7582,75407,2007,1,109-07,1103,,FALSE
20992,126814,2015,1,10949,1030,PV 10949;1030h,FALSE
10137,68528,2006,1,11-06,,FMR I. R -2.4.M,FALSE
8727,74620,2007,1,11-07,944,,FALSE
7504,74914,2007,1,110-07,1018,Only checked tags/weighed,FALSE
8400,78308,2007,1,111-07,,"BLED FINAL FMR, DID NOT SEX OR RD TAG",FALSE
8723,78299,2007,1,112-07,,RMR; electronic scale (249g),FALSE
7427,74912,2007,1,113-07,916,,FALSE
11983,110920,2012,1,11339,1030,,FALSE
7494,74913,2007,1,114-07,916,,FALSE
7692,76639,2007,1,115-07,,,FALSE
7713,76750,2007,1,116-07,,,FALSE
11537,115674,2014,1,1169,1305,PV 1169; PT 1305h,FALSE
7697,76390,2007,1,117-07,,,FALSE
19832,119240,2014,1,1172,1720,PV 1172 PV1585; PT 1720h,FALSE
7617,76043,2007,1,118-07,,,FALSE
10376,78200,2007,1,119-07,,INJECTED AND BLED FOR FMR,FALSE
8727,75057,2007,1,12-07,1147,,FALSE
7861,78362,2007,1,120-07,,"FINAL FMR, DID NOT READ TAGS OR SEX",FALSE
22144,142948,2017,1,1207,1133,PV 1207; PT 1133h,FALSE
11256,133022,2016,1,1217,1328,PV1217; PT1328,FALSE
7921,78326,2007,1,123-07,,"FINAL BLEED FMR, DID NOT SEX / RD TAGS",FALSE
20225,127825,2015,1,1238,1121,PV 1238; PT 11:21,FALSE
